date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:37:24	396977/396977	---M--	200	added ('OK')	text/html	etag:%2260eb1-62ea4a40b9280%22	https://spacingtech.com/html/electon/electon/index.html	C:/My%20Web%20Sites/EKATTOR%20SHOP/spacingtech.com/html/electon/electon/index.html	(from )
18:37:24	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2002%20Sep%202025%2012:37:26%20GMT	https://spacingtech.com/robots.txt		(from )
18:37:24	4683/4683	---M--	200	added ('OK')	image/png	etag:%22124b-620bc1e25d400%22	https://spacingtech.com/html/electon/electon/img/favicon/favicon.png	C:/My%20Web%20Sites/EKATTOR%20SHOP/spacingtech.com/html/electon/electon/img/favicon/favicon.png	(from https://spacingtech.com/html/electon/electon/index.html)
18:37:25	155845/155845	---M--	200	added ('OK')	text/css	etag:%22260c5-5e87eda16bd80%22	https://spacingtech.com/html/electon/electon/css/bootstrap.min.css	C:/My%20Web%20Sites/EKATTOR%20SHOP/spacingtech.com/html/electon/electon/css/bootstrap.min.css	(from https://spacingtech.com/html/electon/electon/index.html)
18:37:25	75088/75088	---M--	200	added ('OK')	text/css	etag:%2212550-5fea5d75fec00%22	https://spacingtech.com/html/electon/electon/css/bootstrap-icons.css	C:/My%20Web%20Sites/EKATTOR%20SHOP/spacingtech.com/html/electon/electon/css/bootstrap-icons.css	(from https://spacingtech.com/html/electon/electon/index.html)
18:37:25	10644/10644	---M--	200	added ('OK')	text/css	etag:%222994-5fe9631773a00%22	https://spacingtech.com/html/electon/electon/css/magnific-popup.css	C:/My%20Web%20Sites/EKATTOR%20SHOP/spacingtech.com/html/electon/electon/css/magnific-popup.css	(from https://spacingtech.com/html/electon/electon/index.html)
18:37:25	101944/101944	---M--	200	added ('OK')	text/css	etag:%2218e38-5fdf374eb2100%22	https://spacingtech.com/html/electon/electon/css/all.min.css	C:/My%20Web%20Sites/EKATTOR%20SHOP/spacingtech.com/html/electon/electon/css/all.min.css	(from https://spacingtech.com/html/electon/electon/index.html)
18:37:26	13388/13388	---M--	200	added ('OK')	text/css	etag:%22344c-5f4ab6c5a5e80%22	https://spacingtech.com/html/electon/electon/css/feather.css	C:/My%20Web%20Sites/EKATTOR%20SHOP/spacingtech.com/html/electon/electon/css/feather.css	(from https://spacingtech.com/html/electon/electon/index.html)
18:37:26	71750/71750	---M--	200	added ('OK')	text/css	etag:%2211846-5eac7e9980980%22	https://spacingtech.com/html/electon/electon/css/animate.min.css	C:/My%20Web%20Sites/EKATTOR%20SHOP/spacingtech.com/html/electon/electon/css/animate.min.css	(from https://spacingtech.com/html/electon/electon/index.html)
18:37:26	3351/3351	---M--	200	added ('OK')	text/css	etag:%22d17-56a4f1e7ca880%22	https://spacingtech.com/html/electon/electon/css/owl.carousel.min.css	C:/My%20Web%20Sites/EKATTOR%20SHOP/spacingtech.com/html/electon/electon/css/owl.carousel.min.css	(from https://spacingtech.com/html/electon/electon/index.html)
18:37:26	1013/1013	---M--	200	added ('OK')	text/css	etag:%223f5-56a4f1e7ca880%22	https://spacingtech.com/html/electon/electon/css/owl.theme.default.min.css	C:/My%20Web%20Sites/EKATTOR%20SHOP/spacingtech.com/html/electon/electon/css/owl.theme.default.min.css	(from https://spacingtech.com/html/electon/electon/index.html)
18:37:27	17905/17905	---M--	200	added ('OK')	text/css	etag:%2245f1-5fdf2d5e4ae00%22	https://spacingtech.com/html/electon/electon/css/swiper-bundle.min.css	C:/My%20Web%20Sites/EKATTOR%20SHOP/spacingtech.com/html/electon/electon/css/swiper-bundle.min.css	(from https://spacingtech.com/html/electon/electon/index.html)
18:37:27	1776/1776	---M--	200	added ('OK')	text/css	etag:%226f0-6154b2ffb6900%22	https://spacingtech.com/html/electon/electon/css/slick.css	C:/My%20Web%20Sites/EKATTOR%20SHOP/spacingtech.com/html/electon/electon/css/slick.css	(from https://spacingtech.com/html/electon/electon/index.html)
18:37:27	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2002%20Sep%202025%2012:37:29%20GMT	https://spacingtech.com/html/electon/electon/css/plugin.css	C:/My%20Web%20Sites/EKATTOR%20SHOP/spacingtech.com/html/electon/electon/css/plugin.css	(from https://spacingtech.com/html/electon/electon/index.html)
18:37:27	31810/31810	---M--	200	added ('OK')	text/css	etag:%227c42-62ea77b945a00%22	https://spacingtech.com/html/electon/electon/css/collection.css	C:/My%20Web%20Sites/EKATTOR%20SHOP/spacingtech.com/html/electon/electon/css/collection.css	(from https://spacingtech.com/html/electon/electon/index.html)
